# Rime user dictionary
#@/db_name	pinyin_simp
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	345520
#@/user_id	de2906ef-e74d-4ea7-bed0-6466917abe46
a 	啊	c=1163 d=4.67475 t=345520
pai jian zhong 	派件中	c=4 d=2.81435 t=193173
pai jiao m 	牌叫呒	c=1 d=1 t=261889
pai jiao nian 	牌交年	c=1 d=1 t=272193
pai le 	排了	c=1 d=1 t=7482
pai liang 	排量	c=1 d=1 t=57091
pai lie 	排列	c=3 d=1 t=327872
pai ming 	排名	c=37 d=1.96291 t=321005
pai pai 	拍拍	c=1 d=1 t=212599
pai qi 	排期	c=10 d=1 t=344038
pai qi 	排气	c=1 d=1 t=56596
pai qian 	派前	c=7 d=1.55499 t=194161
pai qiu 	排球	c=1 d=1 t=273535
pai shang 	派上	c=1 d=1 t=271332
pai shui guan 	排水管	c=2 d=1.47237 t=271060
pai song 	派送	c=68 d=1 t=335139
pai song jian 	派送件	c=3 d=1.4637 t=193980
pai ta 	牌他	c=1 d=1 t=99801
pai xu 	排序	c=33 d=1.00002 t=316843
pai zai 	排在	c=2 d=1.00001 t=289833
pai zhao 	拍照	c=4 d=1 t=281241
pan 	潘	c=11 d=1 t=284327
pan 	畔	c=1 d=1 t=329052
pan 	盘	c=13 d=1 t=338645
pan 	盼	c=1 d=1 t=64918
pan an ning 	盘安宁	c=1 d=1 t=32051
pan dian 	盘点	c=21 d=1.02955 t=335944
pan ding 	判定	c=24 d=1 t=340075
pan duan 	判断	c=109 d=1.49164 t=342828
pan gu 	盘古	c=3 d=1 t=147501
pan hong fei 	潘洪飞	c=1 d=1 t=247490
pan kui 	盘亏	c=1 d=1 t=331240
pan ni 	叛逆	c=1 d=1 t=41741
pan shui miao 	潘水苗	c=2 d=1 t=145216
pan wang 	盼望	c=2 d=1 t=326890
pan yin yun 	潘银鋆	c=1 d=1 t=23990
pan ying 	盘盈	c=1 d=1 t=331242
pan ze 	判责	c=1 d=1 t=5557
pan zi 	盘子	c=2 d=1.94176 t=293398
pan zong 	潘总	c=1 d=1 t=179369
pang 	胖	c=1 d=1 t=189350
pang bian 	旁边	c=1 d=1 t=326694
pang da 	庞大	c=4 d=1 t=327071
pang guan 	旁观	c=1 d=1 t=124804
pang za 	庞杂	c=1 d=1 t=204113
pang zhi 	旁枝	c=1 d=1 t=42001
pao 	刨	c=1 d=1 t=40363
pao 	抛	c=1 d=1 t=42505
pao 	泡	c=3 d=1 t=307037
pao 	跑	c=60 d=0.000115345 t=345520
pao bu 	跑步	c=1 d=1 t=240363
pao cai 	泡菜	c=1 d=1 t=334167
pao cai guan 	泡菜馆	c=7 d=1 t=332362
pao chong 	泡重	c=2 d=1 t=140928
pao chu 	抛出	c=5 d=1 t=230193
pao dao 	跑到	c=2 d=1 t=271090
pao dian 	跑电	c=2 d=1 t=113568
pao diao 	刨掉	c=2 d=1 t=115175
pao ge 	跑个	c=1 d=1 t=258049
pao gua 	匏瓜	c=4 d=1.45388 t=51941
pao guo qu 	跑过去	c=1 d=0.00115923 t=345520
pao huo 	泡货	c=1 d=1 t=328533
pao lai 	跑来	c=1 d=1 t=180891
pao lu 	跑路	c=4 d=1.09117 t=265506
pao mo 	泡沫	c=0 d=0.1 t=76743
pao mo zhi xia 	泡沫之夏	c=1 d=1 t=76744
pao nan 	跑男	c=9 d=2.02641 t=308958
pao qi 	抛弃	c=1 d=1 t=237821
pao qu 	跑去	c=1 d=1 t=180892
pao tang 	泡汤	c=2 d=1 t=126996
pao teng pian 	泡腾片	c=1 d=1 t=166260
pao tong 	跑通	c=1 d=1 t=99903
pao tui 	跑腿	c=5 d=1.44338 t=308960
pao zhen 	疱疹	c=1 d=1 t=300881
pao zhong 	泡重	c=7 d=1.00328 t=142544
pao zhuan yin yu 	抛砖引玉	c=1 d=1 t=132399
pei 	裴	c=2 d=1 t=217998
pei 	赔	c=1 d=1 t=3676
pei 	配	c=40 d=1 t=317241
pei 	陪	c=9 d=1 t=338632
pei ban 	陪伴	c=1 d=1 t=285590
pei bi 	配比	c=2 d=1 t=63847
pei chang 	赔偿	c=1 d=1 t=8898
pei chi 	陪吃	c=1 d=1 t=22863
pei cuo 	配错	c=1 d=1 t=104292
pei dui 	配对	c=1 d=1 t=24532
pei fu 	佩服	c=1 d=1 t=282844
pei he 	配合	c=70 d=1.3045 t=337208
pei hu 	陪护	c=1 d=1 t=124641
pei ji 	配集	c=1 d=1 t=99543
pei jian 	配件	c=1 d=1 t=200927
pei li dao qian 	赔礼道歉	c=1 d=1 t=287838
pei liao 	配料	c=1 d=1 t=92216
pei pei 	陪陪	c=1 d=1 t=72246
pei qi lai 	配起来	c=1 d=1 t=273354
pei qian 	赔钱	c=1 d=1 t=185694
pei se 	配色	c=1 d=1 t=96094
pei shui 	陪睡	c=1 d=1 t=22862
pei song 	配送	c=5 d=2.63363 t=308649
pei tao 	配套	c=8 d=1.70469 t=330559
pei tu 	配图	c=1 d=1 t=328941
pei xun 	培训	c=13 d=1.01198 t=320853
pei yang 	培养	c=2 d=1 t=311014
pei zai 	配在	c=1 d=1 t=105465
pei zai 	配载	c=1 d=1 t=224268
pei zhan chang 	配战场	c=3 d=1 t=283683
pei zhe 	陪着	c=1 d=1 t=186939
pei zhi 	配置	c=578 d=0.0831715 t=345520
pei zhi biao 	配置表	c=4 d=1 t=312283
pei zhi cheng 	配置成	c=1 d=1 t=178687
pei zhi de 	配置的	c=3 d=1 t=237390
pei zhi hua 	配置化	c=1 d=1 t=163367
pei zhi li 	配置里	c=1 d=1 t=106514
pei zhi qi 	配置器	c=4 d=1.00001 t=267915
pei zhi ren 	配置人	c=1 d=1 t=317992
pei zhi wan cheng 	配置完成	c=1 d=1 t=96943
pei zhi wen jian 	配置文件	c=2 d=1 t=180925
pei zhi xiang 	配置项	c=3 d=1 t=317976
pei zhi zhong 	配置中	c=1 d=1 t=171422
pen 	喷	c=3 d=2.83258 t=231188
pen 	盆	c=1 d=1 t=157715
pen hua 	喷花	c=1 d=1 t=326510
pen quan 	喷泉	c=0 d=0.1 t=326507
pen ti 	喷嚏	c=2 d=1 t=281040
peng 	彭	c=12 d=1 t=314085
peng 	棚	c=0 d=0.1 t=155616
peng 	砰	c=1 d=1 t=155532
peng 	碰	c=18 d=1 t=321720
peng 	蓬	c=1 d=1 t=318075
peng 	鹏	c=14 d=1 t=336047
peng dao 	碰到	c=12 d=1 t=327221
peng ge 	鹏哥	c=4 d=1 t=333269
peng peng 	碰碰	c=1 d=1 t=23601
peng qiang 	彭强	c=4 d=1 t=331252
peng shi luo 	彭世洛	c=2 d=1.53794 t=59380
peng shi luo 	彭世落	c=1 d=1 t=59255
peng song 	蓬松	c=0 d=0.1 t=293971
peng tou 	碰头	c=3 d=1 t=141891
peng you 	朋友	c=24 d=1 t=343268
peng you men 	朋友们	c=1 d=1 t=326571
peng you quan 	朋友圈	c=2 d=1 t=271763
peng yuan yuan 	彭媛媛	c=10 d=1 t=103928
peng zhang 	膨胀	c=3 d=1 t=290217
pi 	屁	c=3 d=1 t=188505
pi 	批	c=13 d=2.9362 t=303605
pi 	皮	c=10 d=1 t=322981
pi ci 	批次	c=1 d=1 t=38011
pi feng 	披风	c=1 d=1 t=269496
pi fu 	皮肤	c=7 d=0.000253869 t=345520
pi fu ke 	皮肤科	c=1 d=1 t=95145
pi gu 	屁股	c=1 d=1 t=259324
pi huo 	批货	c=3 d=1 t=154877
pi jia 	批价	c=11 d=0.218712 t=345520
pi liang 	批量	c=26 d=1 t=315560
pi pei 	匹配	c=51 d=0.154124 t=345520
pi ping 	批评	c=1 d=1 t=33314
pi qi 	脾气	c=3 d=1 t=39200
pi xie 	皮屑	c=1 d=1 t=155349
pi yao 	辟谣	c=1 d=1 t=175786
pi yong 	屁用	c=1 d=1 t=105436
pi yu 	疲于	c=1 d=1 t=151805
pi zhe 	披着	c=1 d=1 t=322618
pi zhu 	批注	c=1 d=1 t=134609
pi zhun 	批准	c=2 d=1 t=40177
pian 	偏	c=6 d=1 t=317315
pian 	片	c=14 d=1 t=341572
pian 	篇	c=4 d=0.031117 t=345520
pian 	骗	c=2 d=1 t=101182
pian cha 	偏差	c=8 d=1 t=212139
pian duan 	片段	c=11 d=1 t=341118
pian duo 	偏多	c=1 d=0.00375375 t=345520
pian feng 	偏锋	c=1 d=1 t=28219
pian fu 	篇幅	c=1 d=0.00406639 t=345520
pian gao 	偏高	c=6 d=1.29671 t=311482
pian jian 	片键	c=1 d=1 t=38599
pian li 	偏离	c=1 d=1 t=214311
pian qu 	片区	c=152 d=1.00007 t=344877
pian ren 	骗人	c=1 d=1 t=175549
pian xiang 	偏向	c=2 d=1 t=145264
pian xiao 	偏小	c=1 d=1 t=33427
pian xie 	偏斜	c=7 d=3.04782 t=25972
pian xu 	偏序	c=1 d=1 t=304041
pian yi 	便宜	c=24 d=1 t=339124
pian yi 	偏移	c=3 d=1 t=241125
pian yi de 	便宜得	c=1 d=1 t=236971
pian yi liang 	偏移量	c=1 d=1 t=27466
pian yuan 	偏远	c=7 d=0.00145901 t=345520
pian yuan qu 	偏远区	c=1 d=1 t=332538
pian yun 	片云	c=1 d=1 t=337670
pian zhi 	偏执	c=1 d=1 t=47475
piao 	漂	c=1 d=1 t=39564
piao 	票	c=44 d=0.00144597 t=345520
piao 	飘	c=5 d=1 t=325369
piao guo 	飘过	c=1 d=1 t=35087
piao jia 	票价	c=1 d=1 t=213567
piao jian bi 	票件比	c=1 d=1 t=338594
piao jun 	票均	c=29 d=1 t=328521
piao liang 	漂亮	c=4 d=1 t=219719
piao ling 	嘌呤	c=1 d=1 t=284382
piao man 	飘满	c=1 d=1 t=329407
piao piao 	飘飘	c=0 d=0.1 t=326565
piao shu 	票数	c=3 d=2.90727 t=224680
piao wu 	票务	c=1 d=1 t=188445
piao wu 	飘舞	c=1 d=1 t=326416
piao zhe 	飘着	c=1 d=1 t=46657
pie 	撇	c=1 d=1 t=204718
pie 	瞥	c=1 d=1 t=12488
pie qing 	撇清	c=1 d=1 t=235335
pin 	品	c=1 d=1 t=23383
pin 	拼	c=14 d=1.98511 t=287649
pin 	频	c=1 d=1 t=308333
pin bi 	拼比	c=1 d=1 t=211549
pin ci 	频次	c=76 d=1 t=315834
pin ci ming 	频次名	c=1 d=1 t=120997
pin cou 	拼凑	c=1 d=1 t=182368
pin dao 	频道	c=1 d=1 t=51815
pin duo 	拼多	c=1 d=1 t=16142
pin fan 	频繁	c=19 d=1 t=302471
pin gu 	拼顾	c=1 d=1 t=37680
pin he 	拼合	c=1 d=1 t=182189
pin jie 	拼接	c=8 d=1.02669 t=313869
pin kun 	贫困	c=0 d=0.1 t=168426
pin kun yi dai 	贫困一代	c=1 d=1 t=168427
pin lv 	频率	c=47 d=2.82693 t=308339
pin ming 	品名	c=8 d=1 t=238790
pin ming biao 	品名表	c=2 d=1.9802 t=189698
pin pai 	品牌	c=4 d=1 t=334179
pin xie 	拼写	c=5 d=1.00001 t=345203
pin yin 	拼音	c=5 d=1 t=342914
pin zai 	拼在	c=1 d=1 t=306919
pin zhi 	品质	c=1 d=1 t=184552
pin zi 	拼子	c=1 d=1 t=118747
ping 	凭	c=1 d=1 t=175740
ping 	屏	c=10 d=1 t=269462
ping 	平	c=15 d=1 t=341273
ping 	瓶	c=3 d=1 t=281872
ping 	苹	c=1 d=1 t=45354
ping 	萍	c=1 d=1 t=250228
ping 	评	c=7 d=1 t=325672
ping an 	平安	c=3 d=0.00196243 t=345520
ping bi 	屏蔽	c=14 d=1 t=332660
ping chang 	平常	c=1 d=1 t=20150
ping ci 	平此	c=1 d=1 t=262681
ping deng 	平等	c=2 d=1 t=301420
ping di 	平地	c=1 d=1 t=36501
ping di 	平底	c=1 d=0.1 t=268204
ping di guo 	平底锅	c=1 d=1 t=268205
ping fang 	苹方	c=1 d=1 t=337244
ping fen 	评分	c=2 d=1.79453 t=200700
ping gu 	评估	c=66 d=1.09827 t=338775
ping guo 	苹果	c=6 d=1 t=313272
ping heng 	平衡	c=7 d=1 t=330221
ping hua 	平滑	c=5 d=1 t=157553
ping huan 	平缓	c=2 d=1 t=267739
ping ji 	评级	c=1 d=1 t=233393
ping jia 	平价	c=1 d=1 t=327920
ping jia 	评价	c=2 d=1 t=343265
ping jie 	平姐	c=1 d=1 t=118475
ping jing 	平静	c=1 d=1 t=129175
ping jing 	瓶颈	c=4 d=1 t=214234
ping jun 	平均	c=67 d=3.74588 t=337063
ping kong 	凭空	c=1 d=1 t=36608
ping lun 	评论	c=9 d=1 t=287483
ping mu 	屏幕	c=2 d=1.17377 t=187401
ping pan 	评判	c=1 d=1 t=127444
ping pu 	平铺	c=1 d=1 t=156581
ping shen 	评审	c=101 d=1 t=343180
ping shi 	平时	c=10 d=1 t=299408
ping tai 	平台	c=237 d=1 t=340750
ping tai jian 	平台件	c=1 d=1 t=72291
ping tan 	平摊	c=2 d=1 t=328891
ping ti 	平替	c=3 d=2.95072 t=133300
ping wan 	评完	c=1 d=1 t=172624
ping wen 	平稳	c=4 d=1 t=186069
ping xie 	平写	c=1 d=1 t=226992
ping xing 	平行	c=4 d=1 t=232973
ping xuan 	评选	c=1 d=1 t=104366
ping yi 	平移	c=2 d=1 t=270510
ping yi 	评议	c=1 d=1 t=266184
ping yu 	评语	c=2 d=1 t=199411
ping zheng 	凭证	c=3 d=1 t=111978
ping zi 	瓶子	c=1 d=1 t=280250
po 	坡	c=1 d=1 t=82988
po 	婆	c=1 d=1 t=130996
po 	泼	c=0 d=0.1 t=155281
po 	破	c=8 d=1 t=306495
po 	鄱	c=0 d=0.1 t=125771
po 	颇	c=1 d=1 t=41395
po chu qu de shui 	泼出去的水	c=1 d=1 t=155282
po hu yi yuan 	鄱湖医院	c=1 d=1 t=125772
po huai 	破坏	c=4 d=1 t=261782
po jian cheng die 	破茧成蝶	c=1 d=1 t=29272
po jie 	破解	c=1 d=1 t=217780
po qie 	迫切	c=1 d=1 t=57221
po sui 	破碎	c=1 d=1 t=306510
po sun 	破损	c=22 d=1 t=310384
po yang 	鄱阳	c=1 d=0.1 t=329050
po yang hu 	鄱阳湖	c=1 d=1 t=329051
pou xi 	剖析	c=2 d=1 t=44096
pu 	扑	c=1 d=1 t=254993
pu 	谱	c=1 d=1 t=58965
pu 	铺	c=1 d=1 t=251760
pu bian 	普遍	c=5 d=1 t=313571
pu bu 	瀑布	c=0 d=0.1 t=307094
pu bu tu 	瀑布图	c=1 d=1 t=307095
pu di lan 	蒲地兰	c=1 d=1 t=144903
pu dian 	铺垫	c=2 d=1.86071 t=265299
pu fa 	浦发	c=7 d=1 t=133190
pu fa yin hang 	浦发银行	c=1 d=1 t=129276
pu hua 	普华	c=4 d=1.00185 t=343584
pu hua yong dao 	普华永道	c=3 d=1 t=341614
pu ji 	普及	c=2 d=1.63763 t=232986
pu lin si dun 	普林斯顿	c=3 d=1.00076 t=121714
pu shi 	朴实	c=0 d=0.1 t=322711
pu shi wu hua 	朴实无华	c=1 d=1 t=322712
pu su 	朴素	c=1 d=1 t=130248
pu suo suo 	扑梭梭	c=1 d=1 t=112102
pu tao tang 	葡萄糖	c=1 d=1 t=92224
pu tong 	普通	c=70 d=1.07317 t=337167
pu zi 	铺子	c=1 d=1 t=271466
qi 	七	c=7 d=1 t=326858
qi 	其	c=137 d=1 t=342240
qi 	启	c=4 d=3.08519 t=20497
qi 	器	c=39 d=1.02652 t=336921
qi 	奇	c=5 d=0.1 t=341570
qi 	期	c=22 d=1 t=333116
qi 	柒	c=1 d=1 t=43727
qi 	棋	c=1 d=1 t=192206
qi 	气	c=3 d=1 t=329549
qi 	琪	c=1 d=1.0029 t=7699
qi 	祺	c=1 d=1 t=317694
qi 	起	c=83 d=0.158819 t=345520
qi 	骑	c=20 d=1 t=325362
qi 	齐	c=11 d=1 t=292293
qi ba 	七八	c=1 d=0.1 t=255698
qi ba bai 	起八百	c=1 d=1 t=173331
qi ba ge 	七八个	c=1 d=1 t=177615
qi ba tian 	七八天	c=1 d=1 t=255699
qi bu 	起步	c=3 d=1.90937 t=187795
qi bu lai 	起不来	c=1 d=1 t=27940
qi cai 	器材	c=1 d=1 t=221739
qi cao 	起草	c=4 d=1 t=301446
qi che 	汽车	c=4 d=1 t=314809
qi che 	骑车	c=12 d=1 t=341578
qi chuang 	起床	c=12 d=0.049739 t=345520
qi ci 	其次	c=12 d=1 t=300767
qi dai 	期待	c=8 d=1 t=302362
qi dao 	起到	c=1 d=1 t=300947
qi de 	气得	c=1 d=1 t=106837
qi den 	其扽	c=1 d=1 t=80886
qi dian 	起点	c=1 d=1 t=33127
qi dong 	启动	c=82 d=1.0001 t=319297
qi dong hui 	启动会	c=2 d=1.10646 t=219458
qi dong xiang 	启动项	c=1 d=1 t=103368
qi e 	企鹅	c=1 d=1 t=94235
qi er 	其二	c=1 d=1 t=197737
qi fei 	起飞	c=2 d=1.99501 t=250809
qi fen 	气氛	c=2 d=1 t=297182
qi gao 	其稿	c=1 d=1 t=260529
qi ge 	起个	c=1 d=1 t=319573
qi guai 	奇怪	c=19 d=1 t=324728
qi guan 	器官	c=1 d=1 t=2867
qi guan 	气管	c=8 d=4.16627 t=281224
qi hao 	其浩	c=27 d=1 t=345428
qi hao 	旗号	c=1 d=1 t=101707
qi hao ge 	其浩哥	c=43 d=1 t=238815
qi he 	契合	c=1 d=1 t=27044
qi huan 	奇幻	c=1 d=1 t=341934
qi jia 	起家	c=1 d=1 t=77243
qi jian 	期间	c=12 d=1 t=319948
qi jian 	起见	c=2 d=1 t=65178
qi kuai 	其快	c=1 d=1 t=213184
qi lai 	起来	c=382 d=0.397156 t=345520
qi lai le 	起来了	c=2 d=1 t=81601
qi ma 	起码	c=6 d=1 t=341972
qi man 	齐曼	c=1 d=1 t=187932
qi min you 	齐民友	c=1 d=1 t=132527
qi mo 	期末	c=4 d=1 t=321251
qi nei 	气馁	c=1 d=1 t=41381
qi pa 	其怕	c=1 d=1 t=93319
qi pa 	奇葩	c=1 d=1 t=93320
qi pian 	欺骗	c=1 d=1 t=48605
qi qi 	七七	c=0 d=0.1 t=47825
qi qi 	奇奇	c=1 d=1 t=154572
qi qi ba ba 	七七八八	c=3 d=1 t=267137
qi qi luo luo 	起起落落	c=1 d=1 t=42565
qi qiao 	蹊跷	c=1 d=1 t=163196
qi quan 	齐全	c=6 d=1 t=292278
qi shi 	其实	c=78 d=0.0203434 t=345520
qi shi 	启示	c=1 d=1 t=77038
qi shi 	歧视	c=1 d=1 t=91266
qi shi 	起始	c=3 d=1 t=49532
qi shi lu 	启示录	c=1 d=1 t=205512
qi shui 	汽水	c=1 d=1 t=166256
qi si 	气死	c=1 d=1 t=103982
qi si hui sheng 	起死回生	c=1 d=1 t=279724
qi suan 	起算	c=1 d=1 t=335815
qi ta 	其他	c=363 d=1.0001 t=344756
qi ta 	其它	c=1 d=1 t=313107
qi ta ren 	其他人	c=1 d=1 t=284890
qi ti 	气体	c=1 d=1 t=55706
qi tian 	七天	c=1 d=1 t=143389
qi tou 	起头	c=1 d=1 t=274063
qi wang 	期望	c=47 d=1 t=296353
qi wang 	起网	c=1 d=1 t=336334
qi wei 	企微	c=1 d=1 t=259848
qi wei 	气味	c=2 d=1.74826 t=46074
qi wen 	气温	c=3 d=1 t=331706
qi xi 	气息	c=2 d=1 t=331718
qi xia 	其下	c=2 d=1.9802 t=214718
qi ye 	企业	c=22 d=0.690734 t=345520
qi ye ji 	企业级	c=1 d=1 t=201887
qi ye ji li jie 	企业级理解	c=1 d=1 t=3996
qi yi 	其一	c=3 d=1 t=197738
qi yi 	歧义	c=1 d=1 t=91381
qi yin 	起因	c=1 d=1 t=296934
qi yong 	启用	c=31 d=1 t=337835
qi yong 	弃用	c=1 d=1 t=73589
qi yu 	其余	c=1 d=1 t=118867
qi yu 	起于	c=3 d=1 t=313106
qi yuan 	柒园	c=3 d=1 t=318903
qi yue 	契约	c=2 d=1.98511 t=34837
qi yun 	汽运	c=19 d=1 t=276027
qi zha 	欺诈	c=1 d=1 t=251218
qi zhe 	骑着	c=1 d=1 t=155007
qi zhi 	起止	c=2 d=1.75201 t=265174
qi zhong 	其中	c=86 d=1 t=342294
qi zhong 	期中	c=4 d=1.00025 t=287334
qi zhong kao shi 	其中考试	c=1 d=1 t=287333
qi zi 	棋子	c=5 d=4.48536 t=192272
qia dang 	恰当	c=4 d=0.142274 t=345520
qia hao 	恰好	c=1 d=1 t=223602
qia kou 	卡口	c=13 d=1 t=315829
qia zhe dian 	卡着点	c=1 d=1 t=53615
qian 	倩	c=1 d=1 t=331807
qian 	前	c=269 d=0.00410726 t=345520
qian 	千	c=12 d=1 t=342867
qian 	嵌	c=4 d=1 t=331647
qian 	欠	c=7 d=1 t=316393
qian 	牵	c=1 d=1 t=12467
qian 	签	c=44 d=1 t=341991
qian 	迁	c=18 d=1.3588 t=277884
qian 	钱	c=120 d=1.3952 t=343123
qian bao 	钱包	c=2 d=1 t=280982
qian cai 	钱财	c=1 d=1 t=251233
qian cang 	千仓	c=1 d=1 t=59579
qian cao 	浅草	c=3 d=1.07769 t=92956
qian cao jun 	浅草君	c=2 d=1 t=92482
qian ceng 	千层	c=0 d=0.1 t=216986
qian ceng bing 	千层饼	c=1 d=1 t=216987
qian che zhi jian 	前车之鉴	c=1 d=1 t=319643
qian cheng 	前程	c=1 d=1 t=85676
qian cheng si jin 	前程似锦	c=2 d=1 t=13892
qian chu 	迁出	c=2 d=1 t=141528
qian dao 	千岛	c=1 d=1 t=314581
qian dao 	嵌到	c=3 d=1 t=335012
qian dao cui hu 	嵌到翠湖	c=1 d=1 t=314580
qian duan 	前段	c=3 d=1.00001 t=290070
qian duan 	前端	c=197 d=1.96079 t=343534
qian duan shi jian 	前段时间	c=1 d=1 t=255735
qian duo 	钱多	c=1 d=1 t=115257
qian fen zhi 	千分之	c=0 d=0.1 t=230767
qian fen zhi yi 	千分之一	c=1 d=1 t=230768
qian gua 	牵挂	c=1 d=1 t=86943
qian hou 	前后	c=19 d=1.99005 t=335386
qian hou duan 	前后端	c=14 d=1 t=258715
qian hou lun 	前后轮	c=1 d=1 t=233316
qian jiang 	钱江	c=1 d=1 t=303244
qian jin 	前进	c=4 d=1 t=97808
qian jing 	前景	c=1 d=1 t=249327
qian ka 	签卡	c=1 d=1 t=17288
qian ke 	千克	c=8 d=4.13008 t=328916
qian kuan 	欠款	c=1 d=1 t=316205
qian li 	千里	c=2 d=1 t=81883
qian li 	潜力	c=3 d=0.1 t=283535
qian li jiang shan 	潜力江山	c=1 d=1 t=283536
qian m 	前呒	c=4 d=1 t=228333
qian mi 	千米	c=1 d=1 t=133796
qian mian 	前面	c=41 d=1 t=337496
qian ming 	签名	c=1 d=1 t=103011
qian nu 	前怒	c=1 d=1 t=312791
qian qi 	前期	c=12 d=1 t=291517
qian qian 	茜茜	c=7 d=1.04117 t=322549
qian qian 	钱钱	c=1 d=1 t=42776
qian qing ti yao 	前情提要	c=1 d=1 t=122428
qian ren 	前人	c=1 d=1 t=6744
qian ren 	前任	c=1 d=1 t=323470
qian ri 	前日	c=3 d=1 t=338982
qian ru 	嵌入	c=23 d=1.42909 t=344472
qian ru 	签入	c=2 d=1.98511 t=184628
qian ru shi 	嵌入式	c=3 d=1.97531 t=117916
qian shang 	前上	c=2 d=1.00262 t=68249
qian she 	牵涉	c=3 d=0.0161338 t=345520
qian shi 	前世	c=1 d=1 t=287389
qian shou 	签收	c=604 d=1.00033 t=340816
qian shou de 	签收的	c=1 d=1 t=38342
qian shou hou 	签收后	c=8 d=2.29507 t=68313
qian shou liang 	签收两	c=1 d=1 t=210467
qian shou liang 	签收量	c=16 d=1 t=304945
qian shou lv 	签收率	c=86 d=1.00086 t=340818
qian shu 	前述	c=1 d=1 t=290769
qian shuang zi 	钱双子	c=1 d=1 t=208618
qian shui 	潜水	c=1 d=1 t=3558
qian tai 	前台	c=18 d=1 t=333337
qian tao 	嵌套	c=9 d=1 t=250522
qian tao 	潜逃	c=1 d=1 t=263323
qian ti 	前提	c=14 d=1 t=316670
qian tian 	前天	c=8 d=1 t=252562
qian tong shi 	前同时	c=1 d=1 t=273402
qian tong shi men 	前同事们	c=1 d=1 t=284651
qian tong zhuo 	前同桌	c=1 d=1 t=41959
qian tou 	牵头	c=1 d=1 t=85221
qian tui rou 	前腿肉	c=1 d=1 t=329087
qian wan 	千万	c=5 d=1.00274 t=323907
qian xian 	前线	c=4 d=1 t=299145
qian xian 	浅显	c=1 d=1 t=116986
qian xing wang 	钱兴旺	c=1 d=1 t=238675
qian yi 	前一	c=0 d=0.1 t=253634
qian yi 	迁移	c=163 d=1 t=344966
qian yi dao 	迁移到	c=2 d=1 t=203755
qian yi de 	迁移的	c=1 d=1 t=5196
qian yi ri 	前一日	c=1 d=1 t=253635
qian yi tian 	前一天	c=1 d=1 t=338910
qian yin hou guo 	前因后果	c=1 d=1 t=7238
qian zai 	潜在	c=6 d=1 t=287531
qian zhao 	前兆	c=1 d=1 t=177038
qian zhao 	千兆	c=1 d=1 t=43097
qian zhe 	牵着	c=2 d=1.37344 t=214297
qian zheng 	签证	c=14 d=1 t=251406
qian zhi 	前置	c=18 d=1 t=244967
qian zhi ji 	前置机	c=1 d=1 t=63911
qian zhi ji 	前置集	c=1 d=1 t=63897
qian zhui 	前缀	c=6 d=1 t=336121
qian zi 	签字	c=10 d=1.93707 t=63992
qian zi bai tai 	千姿百态	c=1 d=1 t=175753
qian zu 	前组	c=2 d=1.29523 t=239753
qiang 	墙	c=4 d=1 t=176230
qiang 	强	c=34 d=0.701173 t=345520
qiang 	抢	c=11 d=1 t=254484
qiang 	枪	c=3 d=1 t=193921
qiang 	腔	c=0 d=0.1 t=312480
qiang da 	强大	c=6 d=1 t=225609
qiang dao 	抢到	c=1 d=1 t=345473
qiang diao 	强调	c=7 d=1 t=314047
qiang du 	强度	c=5 d=1 t=189313
qiang ge 	强哥	c=4 d=1.90032 t=307690
qiang hua 	强化	c=1 d=1 t=20089
qiang jiu 	抢救	c=2 d=1 t=277750
qiang li 	强力	c=2 d=1.00002 t=302302
qiang lian 	抢连	c=1 d=1 t=24065
qiang lie 	强烈	c=6 d=1 t=322467
qiang mian 	墙面	c=1 d=1 t=271201
qiang ren 	强人	c=1 d=1 t=91030
qiang zhan 	抢占	c=2 d=1 t=40845
qiang zhe 	强者	c=0 d=0.1 t=186980
qiang zhe yu qiang 	强者愈强	c=1 d=1 t=186981
qiang zhi 	强制	c=4 d=1 t=186105
qiao 	敲	c=3 d=1.9802 t=271610
qiao 	桥	c=1 d=1 t=303259
qiao 	瞧	c=3 d=1 t=321210
qiao cui 	憔悴	c=1 d=1 t=302526
qiao ding 	敲定	c=1 d=1 t=153788
qiao he 	巧合	c=3 d=0.1 t=302921
qiao ke li 	巧克力	c=5 d=1 t=216213
qiao ling 	巧灵	c=3 d=1 t=157987
qiao miao 	巧妙	c=2 d=1 t=189621
qiao qiao 	悄悄	c=2 d=1 t=228272
qiao qiao 	瞧瞧	c=1 d=1 t=21203
qiao si 	乔司	c=2 d=1 t=52754
qiao zhe 	瞧着	c=1 d=1 t=205552
qiao zhi 	乔治	c=1 d=1 t=43962
qie 	且	c=106 d=1 t=341498
qie 	切	c=27 d=1.00069 t=345132
qie ge 	切割	c=3 d=1 t=102675
qie huan 	切换	c=100 d=0.00392653 t=345520
qie huan cheng 	切换成	c=1 d=1 t=318168
qie huan zhong 	切换中	c=1 d=1 t=237374
qie ji 	切记	c=1 d=1 t=231115
qie mian 	切面	c=11 d=1 t=124051
qie pian 	切片	c=4 d=1 t=272510
qie ru dian 	切入点	c=1 d=1 t=205997
qie zai 	切在	c=1 d=1 t=117279
qin 	亲	c=1 d=1 t=32815
qin 	勤	c=1 d=1 t=208724
qin ci 	亲次	c=1 d=1 t=288824
